#{"t_start": 1637674807.0757542, "env_id": null}
r,l,t,total_asset,last_account,action_summary
0.391125,249,8.044168,103911.24697178138,"{'Cash': 12.077797581390769, 'WMT': 460.0, 'AAPL': 1000.0, 'MMM': 0.0}","{'WMT': {'buy': 77, 'sell': 76, 'no-action': 96}, 'AAPL': {'buy': 73, 'sell': 75, 'no-action': 101}, 'MMM': {'buy': 84, 'sell': 84, 'no-action': 81}}"
2.216277,249,8.397959,122162.77213008303,"{'Cash': 22.401580083023873, 'WMT': 1083.0, 'AAPL': 0.0, 'MMM': 533.0}","{'WMT': {'buy': 77, 'sell': 78, 'no-action': 94}, 'AAPL': {'buy': 69, 'sell': 75, 'no-action': 105}, 'MMM': {'buy': 72, 'sell': 69, 'no-action': 108}}"
2.517486,249,8.806719,125174.86488412804,"{'Cash': 13.048739001058493, 'WMT': 1238.0, 'AAPL': 185.0, 'MMM': 305.0}","{'WMT': {'buy': 82, 'sell': 81, 'no-action': 86}, 'AAPL': {'buy': 71, 'sell': 68, 'no-action': 110}, 'MMM': {'buy': 73, 'sell': 76, 'no-action': 100}}"
1.171934,249,9.204658,111719.342883117,"{'Cash': 23.084100116997433, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 1217.0}","{'WMT': {'buy': 70, 'sell': 68, 'no-action': 111}, 'AAPL': {'buy': 69, 'sell': 63, 'no-action': 117}, 'MMM': {'buy': 80, 'sell': 70, 'no-action': 99}}"
1.490842,249,9.636122,114908.42282467926,"{'Cash': 2.602836679259781, 'WMT': 714.0, 'AAPL': 0.0, 'MMM': 726.0}","{'WMT': {'buy': 73, 'sell': 70, 'no-action': 106}, 'AAPL': {'buy': 74, 'sell': 72, 'no-action': 103}, 'MMM': {'buy': 68, 'sell': 65, 'no-action': 116}}"
1.883606,249,10.007584,118836.06355488047,"{'Cash': 28.799413306063798, 'WMT': 0.0, 'AAPL': 1632.0, 'MMM': 0.0}","{'WMT': {'buy': 80, 'sell': 75, 'no-action': 94}, 'AAPL': {'buy': 67, 'sell': 71, 'no-action': 111}, 'MMM': {'buy': 77, 'sell': 78, 'no-action': 94}}"
-0.527265,249,11.593951,94727.3546664432,"{'Cash': 5.714735470201973, 'WMT': 903.0, 'AAPL': 315.0, 'MMM': 117.0}","{'WMT': {'buy': 76, 'sell': 82, 'no-action': 91}, 'AAPL': {'buy': 73, 'sell': 75, 'no-action': 101}, 'MMM': {'buy': 63, 'sell': 67, 'no-action': 119}}"
0.755503,249,11.836015,107555.02661466866,"{'Cash': 60.405424170865444, 'WMT': 665.0, 'AAPL': 859.0, 'MMM': 0.0}","{'WMT': {'buy': 76, 'sell': 89, 'no-action': 84}, 'AAPL': {'buy': 65, 'sell': 76, 'no-action': 108}, 'MMM': {'buy': 75, 'sell': 71, 'no-action': 103}}"
4.43421,249,12.215409,144342.10301812115,"{'Cash': 88612.92861327995, 'WMT': 624.0, 'AAPL': 186.0, 'MMM': 0.0}","{'WMT': {'buy': 71, 'sell': 85, 'no-action': 93}, 'AAPL': {'buy': 69, 'sell': 77, 'no-action': 103}, 'MMM': {'buy': 69, 'sell': 72, 'no-action': 108}}"
0.270077,249,12.625895,102700.76547614297,"{'Cash': 61.69344111438022, 'WMT': 0.0, 'AAPL': 1333.0, 'MMM': 61.0}","{'WMT': {'buy': 82, 'sell': 76, 'no-action': 91}, 'AAPL': {'buy': 66, 'sell': 68, 'no-action': 115}, 'MMM': {'buy': 71, 'sell': 65, 'no-action': 113}}"
-1.040385,249,12.895088,89596.14940364235,"{'Cash': 12.898078642363544, 'WMT': 1325.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 70, 'sell': 67, 'no-action': 112}, 'AAPL': {'buy': 68, 'sell': 71, 'no-action': 110}, 'MMM': {'buy': 65, 'sell': 76, 'no-action': 108}}"
1.24639,249,13.193934,112463.89664730459,"{'Cash': 62.90655257977778, 'WMT': 0.0, 'AAPL': 1544.0, 'MMM': 0.0}","{'WMT': {'buy': 75, 'sell': 67, 'no-action': 107}, 'AAPL': {'buy': 69, 'sell': 68, 'no-action': 112}, 'MMM': {'buy': 68, 'sell': 66, 'no-action': 115}}"
4.642012,249,13.466609,146420.11673268332,"{'Cash': 54640.11773268331, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 1000.0}","{'WMT': {'buy': 74, 'sell': 71, 'no-action': 104}, 'AAPL': {'buy': 68, 'sell': 75, 'no-action': 106}, 'MMM': {'buy': 63, 'sell': 63, 'no-action': 123}}"
-0.319484,249,13.734435,96805.15881335597,"{'Cash': 47.136852837174956, 'WMT': 770.0, 'AAPL': 614.0, 'MMM': 0.0}","{'WMT': {'buy': 81, 'sell': 73, 'no-action': 95}, 'AAPL': {'buy': 62, 'sell': 55, 'no-action': 132}, 'MMM': {'buy': 65, 'sell': 71, 'no-action': 113}}"
0.713923,249,14.951655,107139.22577752947,"{'Cash': 38854.90652152946, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 744.0}","{'WMT': {'buy': 68, 'sell': 70, 'no-action': 111}, 'AAPL': {'buy': 64, 'sell': 70, 'no-action': 115}, 'MMM': {'buy': 65, 'sell': 69, 'no-action': 115}}"
1.458281,249,15.241042,114582.80949902724,"{'Cash': 48.01959902724775, 'WMT': 661.0, 'AAPL': 0.0, 'MMM': 761.0}","{'WMT': {'buy': 74, 'sell': 71, 'no-action': 104}, 'AAPL': {'buy': 65, 'sell': 62, 'no-action': 122}, 'MMM': {'buy': 65, 'sell': 71, 'no-action': 113}}"
2.443903,249,15.599296,124439.03181296508,"{'Cash': 77.13316796507866, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 1355.0}","{'WMT': {'buy': 72, 'sell': 76, 'no-action': 101}, 'AAPL': {'buy': 67, 'sell': 62, 'no-action': 120}, 'MMM': {'buy': 80, 'sell': 69, 'no-action': 100}}"
1.64386,249,15.911428,116438.60030596177,"{'Cash': 61.561573961762406, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 1268.0}","{'WMT': {'buy': 79, 'sell': 70, 'no-action': 100}, 'AAPL': {'buy': 69, 'sell': 78, 'no-action': 102}, 'MMM': {'buy': 67, 'sell': 67, 'no-action': 115}}"
4.033215,249,16.259443,140332.1526541594,"{'Cash': 32734.50291019601, 'WMT': 1000.0, 'AAPL': 427.0, 'MMM': 97.0}","{'WMT': {'buy': 82, 'sell': 73, 'no-action': 94}, 'AAPL': {'buy': 66, 'sell': 66, 'no-action': 117}, 'MMM': {'buy': 56, 'sell': 58, 'no-action': 135}}"
-0.110026,249,16.574242,98899.74159217608,"{'Cash': 41932.82178217609, 'WMT': 248.0, 'AAPL': 0.0, 'MMM': 438.0}","{'WMT': {'buy': 70, 'sell': 61, 'no-action': 118}, 'AAPL': {'buy': 63, 'sell': 57, 'no-action': 129}, 'MMM': {'buy': 62, 'sell': 63, 'no-action': 124}}"
1.240772,249,16.895323,112407.7192862019,"{'Cash': 3433.7542961085055, 'WMT': 905.0, 'AAPL': 577.0, 'MMM': 63.0}","{'WMT': {'buy': 57, 'sell': 56, 'no-action': 136}, 'AAPL': {'buy': 78, 'sell': 80, 'no-action': 91}, 'MMM': {'buy': 72, 'sell': 71, 'no-action': 106}}"
-0.2261,249,17.259165,97738.9966751153,"{'Cash': 24492.740932986493, 'WMT': 657.0, 'AAPL': 164.0, 'MMM': 184.0}","{'WMT': {'buy': 76, 'sell': 75, 'no-action': 98}, 'AAPL': {'buy': 63, 'sell': 65, 'no-action': 121}, 'MMM': {'buy': 76, 'sell': 75, 'no-action': 98}}"
5.649714,249,17.648113,156497.13708532782,"{'Cash': 7.1078543278126745, 'WMT': 539.0, 'AAPL': 0.0, 'MMM': 1308.0}","{'WMT': {'buy': 75, 'sell': 69, 'no-action': 105}, 'AAPL': {'buy': 69, 'sell': 72, 'no-action': 108}, 'MMM': {'buy': 75, 'sell': 70, 'no-action': 104}}"
5.199858,249,19.06734,151998.58297958292,"{'Cash': 21.10551763451076, 'WMT': 158.0, 'AAPL': 602.0, 'MMM': 1062.0}","{'WMT': {'buy': 77, 'sell': 76, 'no-action': 96}, 'AAPL': {'buy': 66, 'sell': 69, 'no-action': 114}, 'MMM': {'buy': 69, 'sell': 66, 'no-action': 114}}"
2.424011,249,19.594628,124240.1084534491,"{'Cash': 58.54730246050167, 'WMT': 1589.0, 'AAPL': 133.0, 'MMM': 77.0}","{'WMT': {'buy': 82, 'sell': 69, 'no-action': 98}, 'AAPL': {'buy': 68, 'sell': 74, 'no-action': 107}, 'MMM': {'buy': 73, 'sell': 69, 'no-action': 107}}"
1.750896,249,20.114944,117508.95870937157,"{'Cash': 16.76750437156015, 'WMT': 1431.0, 'AAPL': 0.0, 'MMM': 226.0}","{'WMT': {'buy': 64, 'sell': 69, 'no-action': 116}, 'AAPL': {'buy': 79, 'sell': 71, 'no-action': 99}, 'MMM': {'buy': 61, 'sell': 57, 'no-action': 131}}"
2.647752,249,20.658378,126477.5207555743,"{'Cash': 85438.2501485743, 'WMT': 607.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 72, 'sell': 75, 'no-action': 102}, 'AAPL': {'buy': 75, 'sell': 63, 'no-action': 111}, 'MMM': {'buy': 62, 'sell': 61, 'no-action': 126}}"
2.637995,249,21.013289,126379.94563619769,"{'Cash': 12692.336372966496, 'WMT': 170.0, 'AAPL': 636.0, 'MMM': 609.0}","{'WMT': {'buy': 71, 'sell': 68, 'no-action': 110}, 'AAPL': {'buy': 75, 'sell': 65, 'no-action': 109}, 'MMM': {'buy': 68, 'sell': 64, 'no-action': 117}}"
1.861704,249,21.337974,118617.0417189676,"{'Cash': 118617.0417189676, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 75, 'sell': 67, 'no-action': 107}, 'AAPL': {'buy': 68, 'sell': 61, 'no-action': 120}, 'MMM': {'buy': 65, 'sell': 71, 'no-action': 113}}"
2.131579,249,21.776334,121315.78622821491,"{'Cash': 72488.82676021491, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 532.0}","{'WMT': {'buy': 62, 'sell': 63, 'no-action': 124}, 'AAPL': {'buy': 75, 'sell': 59, 'no-action': 115}, 'MMM': {'buy': 61, 'sell': 71, 'no-action': 117}}"
1.817941,249,22.046255,118179.41344813732,"{'Cash': 64.74170113732544, 'WMT': 1747.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 71, 'sell': 66, 'no-action': 112}, 'AAPL': {'buy': 64, 'sell': 57, 'no-action': 128}, 'MMM': {'buy': 73, 'sell': 72, 'no-action': 104}}"
-0.76764,249,23.532362,92323.59760307147,"{'Cash': 21.378178071456205, 'WMT': 248.0, 'AAPL': 0.0, 'MMM': 823.0}","{'WMT': {'buy': 73, 'sell': 79, 'no-action': 97}, 'AAPL': {'buy': 69, 'sell': 80, 'no-action': 100}, 'MMM': {'buy': 60, 'sell': 58, 'no-action': 131}}"
3.767376,249,23.892935,137673.7601662495,"{'Cash': 84312.40929874091, 'WMT': 0.0, 'AAPL': 733.0, 'MMM': 0.0}","{'WMT': {'buy': 78, 'sell': 79, 'no-action': 92}, 'AAPL': {'buy': 73, 'sell': 60, 'no-action': 116}, 'MMM': {'buy': 64, 'sell': 66, 'no-action': 119}}"
