#{"t_start": 1637497800.00389, "env_id": null}
r,l,t,total_asset,last_account,action_summary
12.658119,687,83.75645,226581.18513799988,"{'Cash': 23.831458999879032, 'WMT': 3630.0, 'ABBV': 49.0, 'MMM': 0.0}","{'WMT': {'buy': 67, 'sell': 47, 'no-action': 573}, 'ABBV': {'buy': 99, 'sell': 97, 'no-action': 491}, 'MMM': {'buy': 66, 'sell': 47, 'no-action': 574}}"
13.756143,687,88.186733,237561.43366100005,"{'Cash': 54.879806000080706, 'WMT': 3855.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 89, 'sell': 68, 'no-action': 530}, 'ABBV': {'buy': 102, 'sell': 100, 'no-action': 485}, 'MMM': {'buy': 96, 'sell': 76, 'no-action': 515}}"
16.993058,687,92.737069,269930.57735900016,"{'Cash': 13293.633065000162, 'WMT': 629.0, 'ABBV': 3665.0, 'MMM': 0.0}","{'WMT': {'buy': 86, 'sell': 71, 'no-action': 530}, 'ABBV': {'buy': 113, 'sell': 96, 'no-action': 478}, 'MMM': {'buy': 98, 'sell': 73, 'no-action': 516}}"
16.851812,687,97.229767,268518.123204,"{'Cash': 39.63916200004072, 'WMT': 3708.0, 'ABBV': 429.0, 'MMM': 95.0}","{'WMT': {'buy': 111, 'sell': 94, 'no-action': 482}, 'ABBV': {'buy': 121, 'sell': 109, 'no-action': 457}, 'MMM': {'buy': 91, 'sell': 73, 'no-action': 523}}"
15.510324,687,101.645451,255103.239161,"{'Cash': 35.27501300001313, 'WMT': 3921.0, 'ABBV': 227.0, 'MMM': 0.0}","{'WMT': {'buy': 105, 'sell': 87, 'no-action': 495}, 'ABBV': {'buy': 92, 'sell': 102, 'no-action': 493}, 'MMM': {'buy': 105, 'sell': 85, 'no-action': 497}}"
15.405185,687,105.992993,254051.84952400016,"{'Cash': 33.815401000185375, 'WMT': 4123.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 98, 'sell': 93, 'no-action': 496}, 'ABBV': {'buy': 111, 'sell': 97, 'no-action': 479}, 'MMM': {'buy': 100, 'sell': 87, 'no-action': 500}}"
14.884565,687,110.312155,248845.65326100014,"{'Cash': 2.859222000151931, 'WMT': 4039.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 85, 'sell': 80, 'no-action': 522}, 'ABBV': {'buy': 93, 'sell': 80, 'no-action': 514}, 'MMM': {'buy': 123, 'sell': 96, 'no-action': 468}}"
15.256841,687,114.645792,252568.4109810001,"{'Cash': 29.016882000105397, 'WMT': 4099.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 104, 'sell': 98, 'no-action': 485}, 'ABBV': {'buy': 127, 'sell': 105, 'no-action': 455}, 'MMM': {'buy': 116, 'sell': 95, 'no-action': 476}}"
13.555561,687,118.98665,235555.61452900004,"{'Cash': 20.580706000057944, 'WMT': 3823.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 94, 'sell': 82, 'no-action': 511}, 'ABBV': {'buy': 130, 'sell': 112, 'no-action': 445}, 'MMM': {'buy': 101, 'sell': 93, 'no-action': 493}}"
20.038462,687,123.361978,300384.6150730004,"{'Cash': 35.860198000384116, 'WMT': 4875.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 79, 'sell': 72, 'no-action': 536}, 'ABBV': {'buy': 147, 'sell': 146, 'no-action': 394}, 'MMM': {'buy': 109, 'sell': 100, 'no-action': 478}}"
22.542627,687,127.802205,325426.27158399986,"{'Cash': 2.246301999901334, 'WMT': 5282.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 82, 'sell': 73, 'no-action': 532}, 'ABBV': {'buy': 150, 'sell': 156, 'no-action': 381}, 'MMM': {'buy': 132, 'sell': 93, 'no-action': 462}}"
22.410585,687,132.263677,324105.85092799994,"{'Cash': 116.68633399992541, 'WMT': 3401.0, 'ABBV': 1398.0, 'MMM': 205.0}","{'WMT': {'buy': 109, 'sell': 102, 'no-action': 476}, 'ABBV': {'buy': 132, 'sell': 147, 'no-action': 408}, 'MMM': {'buy': 111, 'sell': 76, 'no-action': 500}}"
23.284917,687,136.649933,332849.1715629999,"{'Cash': 31.946160999879794, 'WMT': 5402.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 93, 'sell': 80, 'no-action': 514}, 'ABBV': {'buy': 177, 'sell': 163, 'no-action': 347}, 'MMM': {'buy': 123, 'sell': 90, 'no-action': 474}}"
25.660947,687,141.077658,356609.47139599995,"{'Cash': 17.760610999970908, 'WMT': 2218.0, 'ABBV': 4.0, 'MMM': 1437.0}","{'WMT': {'buy': 84, 'sell': 83, 'no-action': 520}, 'ABBV': {'buy': 150, 'sell': 139, 'no-action': 398}, 'MMM': {'buy': 112, 'sell': 84, 'no-action': 491}}"
28.033503,687,145.492282,380335.0314579999,"{'Cash': 16.4952849998881, 'WMT': 6173.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 96, 'sell': 85, 'no-action': 506}, 'ABBV': {'buy': 138, 'sell': 139, 'no-action': 410}, 'MMM': {'buy': 125, 'sell': 99, 'no-action': 463}}"
24.681312,687,149.890883,346813.1203139999,"{'Cash': 10.424684999932651, 'WMT': 5629.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 91, 'sell': 84, 'no-action': 512}, 'ABBV': {'buy': 103, 'sell': 102, 'no-action': 482}, 'MMM': {'buy': 103, 'sell': 75, 'no-action': 509}}"
22.347606,687,154.360559,323476.05696600006,"{'Cash': 23.55171600005997, 'WMT': 5250.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 112, 'sell': 114, 'no-action': 461}, 'ABBV': {'buy': 151, 'sell': 138, 'no-action': 398}, 'MMM': {'buy': 95, 'sell': 71, 'no-action': 521}}"
25.193113,687,158.829369,351931.1253489999,"{'Cash': 14.799636999960057, 'WMT': 5712.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 103, 'sell': 107, 'no-action': 477}, 'ABBV': {'buy': 122, 'sell': 119, 'no-action': 446}, 'MMM': {'buy': 125, 'sell': 91, 'no-action': 471}}"
27.595088,687,163.150501,375950.8763269998,"{'Cash': 6.650224999788406, 'WMT': 6102.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 98, 'sell': 84, 'no-action': 505}, 'ABBV': {'buy': 88, 'sell': 94, 'no-action': 505}, 'MMM': {'buy': 110, 'sell': 92, 'no-action': 485}}"
30.28498,687,167.486359,402849.79965199984,"{'Cash': 43.613113999907, 'WMT': 6538.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 113, 'sell': 109, 'no-action': 465}, 'ABBV': {'buy': 124, 'sell': 128, 'no-action': 435}, 'MMM': {'buy': 143, 'sell': 100, 'no-action': 444}}"
28.927196,687,171.914601,389271.9637909999,"{'Cash': 40.90836799990211, 'WMT': 5677.0, 'ABBV': 3.0, 'MMM': 257.0}","{'WMT': {'buy': 100, 'sell': 102, 'no-action': 485}, 'ABBV': {'buy': 96, 'sell': 85, 'no-action': 506}, 'MMM': {'buy': 138, 'sell': 108, 'no-action': 441}}"
31.751718,687,176.237923,417517.1802389996,"{'Cash': 47.81346299962752, 'WMT': 6776.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 107, 'sell': 104, 'no-action': 476}, 'ABBV': {'buy': 102, 'sell': 105, 'no-action': 480}, 'MMM': {'buy': 150, 'sell': 108, 'no-action': 429}}"
29.35267,687,180.64088,393526.70318999985,"{'Cash': 23.626802999893698, 'WMT': 6387.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 92, 'sell': 93, 'no-action': 502}, 'ABBV': {'buy': 112, 'sell': 112, 'no-action': 463}, 'MMM': {'buy': 109, 'sell': 81, 'no-action': 497}}"
28.993866,687,184.991403,389938.6585399998,"{'Cash': 8.962210999805393, 'WMT': 6329.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 104, 'sell': 105, 'no-action': 478}, 'ABBV': {'buy': 116, 'sell': 113, 'no-action': 458}, 'MMM': {'buy': 141, 'sell': 103, 'no-action': 443}}"
37.079973,687,189.338718,470799.7344769997,"{'Cash': 37.716835999723116, 'WMT': 7641.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 123, 'sell': 111, 'no-action': 453}, 'ABBV': {'buy': 141, 'sell': 138, 'no-action': 408}, 'MMM': {'buy': 158, 'sell': 128, 'no-action': 401}}"
36.16927,687,193.751519,461692.7042010002,"{'Cash': 8.456697000277927, 'WMT': 7209.0, 'ABBV': 295.0, 'MMM': 0.0}","{'WMT': {'buy': 102, 'sell': 99, 'no-action': 486}, 'ABBV': {'buy': 115, 'sell': 119, 'no-action': 453}, 'MMM': {'buy': 109, 'sell': 95, 'no-action': 483}}"
35.460317,687,198.091134,454603.1681319998,"{'Cash': 44.58075399980589, 'WMT': 7378.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 102, 'sell': 104, 'no-action': 481}, 'ABBV': {'buy': 140, 'sell': 139, 'no-action': 408}, 'MMM': {'buy': 145, 'sell': 116, 'no-action': 426}}"
39.114105,687,202.471846,491141.0503619999,"{'Cash': 47.7323909999177, 'WMT': 7971.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 95, 'sell': 81, 'no-action': 511}, 'ABBV': {'buy': 137, 'sell': 123, 'no-action': 427}, 'MMM': {'buy': 113, 'sell': 89, 'no-action': 485}}"
42.403262,687,206.927721,524032.61610300024,"{'Cash': 39.55759800029773, 'WMT': 8505.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 87, 'sell': 76, 'no-action': 524}, 'ABBV': {'buy': 120, 'sell': 119, 'no-action': 448}, 'MMM': {'buy': 105, 'sell': 93, 'no-action': 489}}"
39.560938,687,211.318412,495609.3761569995,"{'Cash': 45.288478999547806, 'WMT': 7783.0, 'ABBV': 0.0, 'MMM': 105.0}","{'WMT': {'buy': 86, 'sell': 72, 'no-action': 529}, 'ABBV': {'buy': 128, 'sell': 123, 'no-action': 436}, 'MMM': {'buy': 105, 'sell': 74, 'no-action': 508}}"
42.729601,687,215.637753,527296.0136079997,"{'Cash': 37.62504999964858, 'WMT': 8558.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 101, 'sell': 87, 'no-action': 499}, 'ABBV': {'buy': 140, 'sell': 131, 'no-action': 416}, 'MMM': {'buy': 105, 'sell': 87, 'no-action': 495}}"
42.346457,687,220.108266,523464.5724,"{'Cash': 26.003904000062903, 'WMT': 8496.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 89, 'sell': 77, 'no-action': 521}, 'ABBV': {'buy': 139, 'sell': 130, 'no-action': 418}, 'MMM': {'buy': 110, 'sell': 79, 'no-action': 498}}"
